사업명,집행차수,과제/사업단명,비목,보조비목,보조세목,최초배정액,예산증감액,이월금,비고
미래형 광주 커뮤니티 아카데미 운영,2차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(임차료),임차료,3250000,-500000,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,무등산 전문가 양성과정(평생교육원),교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,110000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,사회복지사양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,사회복지사양성과정(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,11400000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,사회복지사양성과정(평생교육원),교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,사회복지사양성과정(평생교육원),교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,100000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,심미안 아카데미아(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,심미안 아카데미아(평생교육원),교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,9850000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,심미안 아카데미아(평생교육원),교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,심미안 아카데미아(평생교육원),교육 연구 프로그램개발 운영비,운영비(공공요금및제세),공공요금및제세,1200000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,심미안 아카데미아(평생교육원),교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,심미안 아카데미아(평생교육원),교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,1100000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,(철학과)지역민을 위한 미래라이프 철학 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,(철학과)지역민을 위한 미래라이프 철학 아카데미,교육 연구 프로그램개발 운영비,운영비(일반수용비),일반수용비,13700000,0,0,
미래형 광주 커뮤니티 아카데미 운영,1차년도,(철학과)지역민을 위한 미래라이프 철학 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,0,0,0,
미래형 광주 커뮤니티 아카데미 운영,2차년도,(철학과)지역민을 위한 미래라이프 철학 아카데미,교육 연구 프로그램개발 운영비,여비(국내여비),국내여비,800000,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,인건비,인건비(보수),보수,36334190,0,0,
대학 자원 공유 커뮤니버시티 운영,1차년도,앵커사업단,인건비,운영비(복리후생비),복리후생비,3540030,0,0,
